18/08/2024	12:24:12	 625d28df-9a6d-448b-a753-6206fb374a4b	 GET 	 undefined 	 /
18/08/2024	12:24:12	 26add521-e6cc-454b-97ad-71ac7f7d5c0e	 GET 	 undefined 	 /css/styles.css
18/08/2024	12:27:43	 963c89cf-cd8c-476e-bccc-c3a63ef51c4a	 GET 	 undefined 	 /
18/08/2024	12:27:43	 2f2df852-4ccf-4736-8275-24f8acf1c930	 GET 	 undefined 	 /css/styles.css
18/08/2024	12:28:06	 10cfc856-beb1-4abb-8d78-0add17cf5069	 GET 	 undefined 	 /old-page
18/08/2024	12:28:06	 5edaf940-2fb1-4878-8731-756cf9e24c2e	 GET 	 undefined 	 /new-page.html
18/08/2024	12:28:06	 bc59daf4-8e42-4435-8665-9b6b15a2b822	 GET 	 undefined 	 /css/styles.css
18/08/2024	12:28:06	 8c25488e-2cab-49a2-8213-67b5b5e5ab36	 GET 	 undefined 	 /img/img1.jpg
18/08/2024	12:28:55	 04d0aa33-a0ec-4652-a5ee-4d20e30fa728	 GET 	 chrome-extension://laookkfknpbbblfpciffpaejjkokdgca 	 /
18/08/2024	12:29:44	 56e27845-5cdc-45ac-a836-90c8199e3b32	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:29:44	 952b451f-4f9e-4fe1-a98f-425b35a9faaa	 GET 	 https://www.google.com 	 /
18/08/2024	12:31:35	 dad29f1f-0abd-4a08-904e-0de26f480743	 OPTIONS 	 https://www.youtube.com 	 /
18/08/2024	12:31:35	 1f16ff94-9ee5-487e-a18f-639d8b97d30c	 GET 	 https://www.youtube.com 	 /
18/08/2024	12:32:21	 1c08d5b1-7a0f-4f4b-b829-936dcdcbd8a0	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:32:21	 30d77969-1b03-4f35-887c-9fbc7772c43c	 GET 	 https://www.google.com 	 /
18/08/2024	12:38:04	 9a4743ea-e549-4229-b29e-d425fd637d99	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:38:04	 c27cefc3-170f-4d80-a4ae-5c0ed4939ed2	 GET 	 https://www.google.com 	 /
18/08/2024	12:38:19	 a4875bec-c283-43c7-a859-5edae70cd58c	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:38:19	 3bb95934-5af0-4732-a0b1-407b241205eb	 GET 	 https://www.google.com 	 /
18/08/2024	12:47:10	 a4761289-6cc3-4f5b-870f-75a547dc6633	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:47:10	 d1462cba-fe99-4def-9dee-f6606b77ac84	 GET 	 https://www.google.com 	 /
18/08/2024	12:47:27	 ba1e86fa-eb0f-412a-9699-6d02941fb1c5	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:47:27	 56182146-6312-49ac-8de0-f4900370f509	 GET 	 https://www.google.com 	 /
18/08/2024	12:47:43	 d84d5eae-c38e-400b-9884-c72f7d1f4e50	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:47:43	 12f87243-581c-4851-a058-b20cb165fcf1	 GET 	 https://www.google.com 	 /
18/08/2024	12:48:16	 2904dbc9-4f50-4c9c-b543-1b8c841c0cb6	 GET 	 undefined 	 /new-page.html
18/08/2024	12:48:16	 27cf41c2-207f-43fc-ad20-b823a68c2007	 GET 	 undefined 	 /css/styles.css
18/08/2024	12:48:16	 8a27496c-8701-4bff-be40-dd5d338b02f2	 GET 	 undefined 	 /img/img1.jpg
18/08/2024	12:48:38	 9acf588f-c7c8-48aa-9e91-878cc7c3e837	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:48:38	 99b3dbbf-a050-4f5b-9352-92f1bc9b4381	 GET 	 https://www.google.com 	 /
18/08/2024	12:49:15	 041d43d7-853a-4e20-82ab-b2f889610672	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:49:15	 20b690ba-df2d-4471-8785-87013d31c2bc	 GET 	 https://www.google.com 	 /
18/08/2024	12:49:31	 fda81400-be32-40f6-88ee-73d5cd1ddeff	 OPTIONS 	 https://www.google.com 	 /
18/08/2024	12:49:32	 87a06413-61cc-48ad-8823-f892a44e7dde	 GET 	 https://www.google.com 	 /
18/08/2024	12:49:54	 43d013a8-619a-448b-a49d-4f7e47eda27a	 OPTIONS 	 https://www.youtube.com 	 /
18/08/2024	12:49:54	 7dae9706-b85e-497f-8218-bfb9387bd135	 GET 	 https://www.youtube.com 	 /
18/08/2024	12:50:14	 501b32c7-874a-4cca-b671-bc7d1fff6dba	 OPTIONS 	 https://www.youtube.com 	 /
18/08/2024	12:50:14	 559d0327-c198-4a97-b2e7-9e210cfea84c	 GET 	 https://www.youtube.com 	 /
18/08/2024	12:50:24	 658fff1d-0953-469b-b78d-6429cb6dfefa	 GET 	 undefined 	 /
18/08/2024	12:50:24	 8c1cdf05-2c88-4d0f-9d8b-bc471ea769d4	 GET 	 undefined 	 /css/styles.css
